ProvincePCode,DistrictPCode,LocalAuthority,DistrictType,WardPCode,WardNumber
10,1021,Bulawayo City Council,Urban District,102101,1
10,1021,Bulawayo City Council,Urban District,102102,2
10,1021,Bulawayo City Council,Urban District,102103,3
10,1021,Bulawayo City Council,Urban District,102104,4
10,1021,Bulawayo City Council,Urban District,102105,5
10,1021,Bulawayo City Council,Urban District,102106,6
10,1021,Bulawayo City Council,Urban District,102107,7
10,1021,Bulawayo City Council,Urban District,102108,8
10,1021,Bulawayo City Council,Urban District,102109,9
10,1021,Bulawayo City Council,Urban District,102110,10
10,1021,Bulawayo City Council,Urban District,102111,11
10,1021,Bulawayo City Council,Urban District,102112,12
10,1021,Bulawayo City Council,Urban District,102113,13
10,1021,Bulawayo City Council,Urban District,102114,14
10,1021,Bulawayo City Council,Urban District,102115,15
10,1021,Bulawayo City Council,Urban District,102116,16
10,1021,Bulawayo City Council,Urban District,102117,17
10,1021,Bulawayo City Council,Urban District,102118,18
10,1021,Bulawayo City Council,Urban District,102119,19
10,1021,Bulawayo City Council,Urban District,102120,20
10,1021,Bulawayo City Council,Urban District,102121,21
10,1021,Bulawayo City Council,Urban District,102122,22
10,1021,Bulawayo City Council,Urban District,102123,23
10,1021,Bulawayo City Council,Urban District,102124,24
10,1021,Bulawayo City Council,Urban District,102125,25
10,1021,Bulawayo City Council,Urban District,102126,26
10,1021,Bulawayo City Council,Urban District,102127,27
10,1021,Bulawayo City Council,Urban District,102128,28
10,1021,Bulawayo City Council,Urban District,102129,29
11,1101,Buhera RDC,Rural District,110101,1
11,1101,Buhera RDC,Rural District,110102,2
11,1101,Buhera RDC,Rural District,110103,3
11,1101,Buhera RDC,Rural District,110104,4
11,1101,Buhera RDC,Rural District,110105,5
11,1101,Buhera RDC,Rural District,110106,6
11,1101,Buhera RDC,Rural District,110107,7
11,1101,Buhera RDC,Rural District,110108,8
11,1101,Buhera RDC,Rural District,110109,9
11,1101,Buhera RDC,Rural District,110110,10
11,1101,Buhera RDC,Rural District,110111,11
11,1101,Buhera RDC,Rural District,110112,12
11,1101,Buhera RDC,Rural District,110113,13
11,1101,Buhera RDC,Rural District,110114,14
11,1101,Buhera RDC,Rural District,110115,15
11,1101,Buhera RDC,Rural District,110116,16
11,1101,Buhera RDC,Rural District,110117,17
11,1101,Buhera RDC,Rural District,110118,18
11,1101,Buhera RDC,Rural District,110119,19
11,1101,Buhera RDC,Rural District,110120,20
11,1101,Buhera RDC,Rural District,110121,21
11,1101,Buhera RDC,Rural District,110122,22
